"Data";"Saldo de crédito ampliado ao governo - Total";"Saldo de empréstimos do SFN ao governo";"Saldo de títulos públicos - Governo geral";"Saldo de dívida externa - Concedido ao governo - Total";"Saldo de dívida externa - Empréstimos ao governo";"Saldo de dívida externa - Títulos públicos emitidos no mercado externo";"Saldo de dívida externa - Títulos públicos emitidos no mercado doméstico"
2013-01-01;2035899;49860;1606823;379216;50005;98266;230944
2013-02-01;2064113;49679;1630719;383715;52880;97459;233377
2013-03-01;2054441;50328;1615380;388733;53603;98686;236444
2013-04-01;2045530;51304;1612379;381847;53606;88830;239410
2013-05-01;2047536;54411;1599560;393565;57069;95451;241046
2013-06-01;2102017;56467;1636849;408701;54133;96754;257814
2013-07-01;2078405;57900;1593493;427013;58079;98120;270813
2013-08-01;2119106;60289;1609952;448866;61912;101071;285883
2013-09-01;2115266;63685;1591369;460212;58230;95839;306143
2013-10-01;2147005;65275;1625582;456149;58125;89943;308081
2013-11-01;2199177;67051;1665352;466775;61556;98349;306870
2013-12-01;2258402;71460;1719565;467377;66143;92673;308561
2014-01-01;2195509;73308;1632784;489417;68817;103347;317253
2014-02-01;2207183;73649;1648011;485523;66318;92399;326807
2014-03-01;2222818;78266;1645701;498850;64399;90048;344404
2014-04-01;2199664;81332;1608247;510086;63683;94989;351414
2014-05-01;2271062;82025;1677371;511666;64401;94936;352329
2014-06-01;2355990;83432;1745883;526675;67708;93604;365364
2014-07-01;2324920;87202;1713948;523770;65304;90440;368026
2014-08-01;2327178;88171;1699425;539582;69774;94120;375689
2014-09-01;2352568;92335;1692244;567989;77191;104022;386776
2014-10-01;2328039;94006;1648299;585734;78786;104406;402541
2014-11-01;2390732;96595;1694168;599969;85797;108336;405835
2014-12-01;2484155;100066;1791877;592212;88788;111690;391734
2015-01-01;2436244;100507;1719506;616231;88817;108973;418442
2015-02-01;2526639;102464;1781016;643159;96023;114797;432339
2015-03-01;2653070;105343;1864846;682880;108737;122503;451640
2015-04-01;2651995;104665;1872034;675297;100488;113046;461763
2015-05-01;2718354;107426;1905283;705645;108512;130370;466763
2015-06-01;2792884;107838;1994098;690948;106115;116512;468321
2015-07-01;2825917;110994;2017982;696941;115816;123872;457253
2015-08-01;2914502;113368;2089001;712133;124556;124610;462967
2015-09-01;2966574;117025;2128454;721095;135877;124936;460281
2015-10-01;2877728;117433;2051512;708782;132750;123495;452537
2015-11-01;2947636;118848;2101866;726922;131980;121550;473393
2015-12-01;3024030;123575;2179813;720642;134412;115878;470352
2016-01-01;2989931;123699;2142687;723544;139729;119523;464293
2016-02-01;3057993;123709;2227024;707261;137253;118810;451198
2016-03-01;3115790;121515;2315618;678657;123116;117656;437885
2016-04-01;3029722;122179;2228557;678986;119934;117419;441634
2016-05-01;3114660;124443;2314132;676085;125609;120442;430035
2016-06-01;3186065;122110;2398129;665826;111772;114311;439743
2016-07-01;3189907;122540;2394568;672799;113312;121902;437585
2016-08-01;3191899;125248;2407114;659537;112818;123662;423057
2016-09-01;3282059;124827;2506412;650820;113476;122873;414471
2016-10-01;3265167;125161;2499405;640600;111339;119381;409880
2016-11-01;3328792;128443;2557008;643341;118738;120189;404414
2016-12-01;3344139;128402;2583243;632494;114073;115249;403172
2017-01-01;3285577;127036;2544493;614048;109809;110177;394062
2017-02-01;3364862;127414;2631124;606325;108484;108224;389617
2017-03-01;3466873;127957;2724613;614303;110505;114566;389231
2017-04-01;3479982;128200;2719465;632317;111724;116831;403762
2017-05-01;3488554;128282;2733745;626527;113316;116802;396409
2017-06-01;3595166;128480;2840838;625849;116835;116197;392816
2017-07-01;3573098;126221;2833528;613348;109869;112038;391442
2017-08-01;3639043;126704;2893932;618406;112100;113811;392496
2017-09-01;3666680;126673;2919392;620616;112924;115101;392590
2017-10-01;3679274;128779;2911599;638896;117051;122000;399845
2017-11-01;3734669;129670;2966808;638190;117332;115653;405206
2017-12-01;3805469;133199;3043450;628820;119343;117409;392068
2018-01-01;3766700;129575;3005294;631831;114768;116860;400202
2018-02-01;3822675;131790;3050162;640723;116917;117376;406430
2018-03-01;3878369;132965;3111197;634207;109463;128484;396260
2018-04-01;3909367;134373;3111600;663394;126924;123616;412853
2018-05-01;3970945;135666;3161732;673548;134867;126633;412048
2018-06-01;4009047;137212;3192131;679704;125763;138731;415210
2018-07-01;4008865;136393;3174029;698443;135509;129374;433560
2018-08-01;4053130;139726;3218309;695095;134762;147697;412635
2018-09-01;4042499;138390;3224728;679381;130519;145198;403664
2018-10-01;4017776;136213;3207435;674129;121810;137632;414687
2018-11-01;4086440;137142;3267630;681668;126969;142526;412173
2018-12-01;4142520;138496;3326484;677540;129228;145907;402405
2019-01-01;4068553;135634;3256673;676246;121621;141809;412816
2019-02-01;4136019;135959;3298933;701127;123999;144417;432711
2019-03-01;4185722;137053;3325829;722840;127250;157136;438454
2019-04-01;4148707;137534;3281345;729828;129855;157892;442082
2019-05-01;4160964;137238;3283017;740709;129345;159044;452320
2019-06-01;4249009;135711;3378025;735273;126891;160068;448314
2019-07-01;4266887;135059;3399086;732742;125510;159939;447292
2019-08-01;4368284;138469;3466574;763241;139274;177203;446764
2019-09-01;4447310;138821;3562283;746205;138816;176332;431057
2019-10-01;4410921;138086;3542891;729944;139223;167447;423274
2019-11-01;4504342;141189;3611900;751254;146497;182717;422039
2019-12-01;4539907;141032;3683760;715116;139429;176185;399502
2020-01-01;4537715;142559;3642866;752290;148260;189316;414714
2020-02-01;4599617;144285;3677231;778101;154933;200409;422759
2020-03-01;4547034;150102;3642301;754631;178941;211458;364232
2020-04-01;4499233;152561;3607352;739320;187690;215247;336383
2020-05-01;4593786;153366;3697375;743045;187424;220041;335580
2020-06-01;4736065;156045;3805104;774916;185863;243218;345835
2020-07-01;4696421;155877;3777128;763416;179779;242272;341365
2020-08-01;4774039;159467;3815243;799329;186910;253468;358951
2020-09-01;4892438;162637;3908229;821572;192195;256660;372717
