"";"24 meses atrás";"12 meses atrás";"Último Mês";"Ultimo Mês - %PIB"
"Operações de crédito do SFN";3181,523;3367,983;3809,473;0,528105533465091
"   Outras sociedades financeiras";90,737;95,51;102,241;0,0141736239755484
"   Fundos governamentais";116,545;129,533;147,743;0,0204815458281849
" Total1";3388,805;3593,026;4059,457;0,562760703268824
"   Títulos públicos";3224,728;3562,283;3908,229;0,54179603345364
"   Títulos privados";366,649;468,306;515,066;0,0714033685761076
"   Instrumentos de securitização";208,095;293,208;283,209;0,0392611366525277
" Total2";3799,472;4323,797;4706,504;0,652460538682275
"   Empréstimos";1281,853;1421,181;1925,737;0,266964056628952
"   Títulos emitidos no mercado externo";249,405;263,303;360,289;0,0499467024826279
"   Títulos emitidos no mercado doméstico";413,497;439,363;385,363;0,0534226998570951
" Total3";1944,755;2123,847;2671,389;0,370333458968675
"Total";9133,032;10040,67;11437,35;1,58555470091977
